listingid,amount,currency,percentChange,quantity,row,sectionId,sectionName,zoneId,zoneName
1158595584,188.47,USD,1.453,2,14,393969,200 Level Lower Corner 226,248124,200 Level Lower Corner
1158654319,118.74,USD,-0.1403999999999999,1,12,393955,200 Level Lower End 215,248125,200 Level Lower End
1171461377,106.63,USD,0.064,4,1,393999,400 Level End 416,84581,400 Level End
1173835008,206.08,USD,2.336,2,3,393957,200 Level Lower End 217,248125,200 Level Lower End
1174197760,300.0,USD,0.731144,4,SRO,379803,Suite B 27,77948,Suite
